rank,n_cases,mean_dice,std_dice,min_dice,max_dice,mean_hd95,std_hd95,n_inf_hd95,mean_precision,mean_recall,mean_f1,mean_n_pred_lesions,mean_n_gt_lesions,mean_n_tp_lesions,elapsed_sec,MORPH_RADIUS,GAUSSIAN_SIGMA,FLAIR_MIN_THRESHOLD,DIFF_PERCENTILE,DIFF_MIN_THRESHOLD,BRAIN_EROSION_RADIUS,MIN_LESION_VOXELS
30,60,0.1451,0.201,0.0,0.7446,62.4658,15.7081,0,0.0547,0.0183,0.0258,26.75,78.75,1.3667,58.59,1,1.0,0.1,97.0,0.7,7,7
31,60,0.1451,0.201,0.0,0.7446,62.4658,15.7081,0,0.0547,0.0183,0.0258,26.75,78.75,1.3667,58.48,1,1.0,0.3,97.0,0.3,7,3
32,60,0.1451,0.201,0.0,0.7446,62.4658,15.7081,0,0.0547,0.0183,0.0258,26.75,78.75,1.3667,58.57,1,1.0,0.3,97.0,0.3,7,7
33,60,0.1451,0.201,0.0,0.7446,62.4658,15.7081,0,0.0547,0.0183,0.0258,26.75,78.75,1.3667,58.51,1,1.0,0.3,97.0,0.5,7,3
34,60,0.1451,0.201,0.0,0.7446,62.4658,15.7081,0,0.0547,0.0183,0.0258,26.75,78.75,1.3667,58.59,1,1.0,0.3,97.0,0.5,7,7
35,60,0.1451,0.201,0.0,0.7446,62.4658,15.7081,0,0.0547,0.0183,0.0258,26.75,78.75,1.3667,58.53,1,1.0,0.3,97.0,0.7,7,3
36,60,0.1451,0.201,0.0,0.7446,62.4658,15.7081,0,0.0547,0.0183,0.0258,26.75,78.75,1.3667,58.54,1,1.0,0.3,97.0,0.7,7,7
37,60,0.1451,0.1975,0.0,0.746,60.158,15.0435,0,0.0421,0.019,0.0248,34.7833,78.75,1.4333,65.05,1,1.0,0.3,96.0,0.3,7,15
38,60,0.1451,0.1975,0.0,0.746,60.158,15.0435,0,0.0421,0.019,0.0248,34.7833,78.75,1.4333,65.05,1,1.0,0.3,96.0,0.5,7,15
39,60,0.1451,0.1975,0.0,0.746,60.158,15.0435,0,0.0421,0.019,0.0248,34.7833,78.75,1.4333,65.18,1,1.0,0.3,96.0,0.7,7,15
40,60,0.1451,0.1975,0.0,0.746,60.1585,15.0439,0,0.0421,0.019,0.0248,34.8167,78.75,1.4333,64.96,1,1.0,0.1,96.0,0.3,7,15
41,60,0.1451,0.1975,0.0,0.746,60.1585,15.0439,0,0.0421,0.019,0.0248,34.8167,78.75,1.4333,64.8,1,1.0,0.1,96.0,0.5,7,15
42,60,0.1451,0.1975,0.0,0.746,60.1585,15.0439,0,0.0421,0.019,0.0248,34.8167,78.75,1.4333,64.77,1,1.0,0.1,96.0,0.7,7,15
43,60,0.145,0.1998,0.0,0.7462,62.3968,15.7146,0,0.0507,0.0187,0.0258,28.1667,78.75,1.4,54.87,1,1.0,0.5,97.0,0.3,3,15
44,60,0.145,0.1998,0.0,0.7462,62.3968,15.7146,0,0.0507,0.0187,0.0258,28.1667,78.75,1.4,55.2,1,1.0,0.5,97.0,0.5,3,15
45,60,0.145,0.1998,0.0,0.7462,62.3968,15.7146,0,0.0507,0.0187,0.0258,28.1667,78.75,1.4,55.1,1,1.0,0.5,97.0,0.7,3,15
46,60,0.145,0.1974,0.0,0.746,60.2333,15.0669,0,0.0413,0.019,0.0246,36.45,78.75,1.4333,65.22,1,1.0,0.3,96.0,0.3,7,3
47,60,0.145,0.1974,0.0,0.746,60.2333,15.0669,0,0.0413,0.019,0.0246,36.45,78.75,1.4333,65.28,1,1.0,0.3,96.0,0.3,7,7
48,60,0.145,0.1974,0.0,0.746,60.2333,15.0669,0,0.0413,0.019,0.0246,36.45,78.75,1.4333,65.11,1,1.0,0.3,96.0,0.5,7,3
49,60,0.145,0.1974,0.0,0.746,60.2333,15.0669,0,0.0413,0.019,0.0246,36.45,78.75,1.4333,65.37,1,1.0,0.3,96.0,0.5,7,7
50,60,0.145,0.1974,0.0,0.746,60.2333,15.0669,0,0.0413,0.019,0.0246,36.45,78.75,1.4333,65.18,1,1.0,0.3,96.0,0.7,7,3
51,60,0.145,0.1974,0.0,0.746,60.2333,15.0669,0,0.0413,0.019,0.0246,36.45,78.75,1.4333,65.25,1,1.0,0.3,96.0,0.7,7,7
52,60,0.1449,0.1973,0.0,0.746,60.2345,15.0669,0,0.0413,0.019,0.0246,36.4833,78.75,1.4333,65.05,1,1.0,0.1,96.0,0.3,7,3
53,60,0.1449,0.1973,0.0,0.746,60.2345,15.0669,0,0.0413,0.019,0.0246,36.4833,78.75,1.4333,64.92,1,1.0,0.1,96.0,0.3,7,7
54,60,0.1449,0.1973,0.0,0.746,60.2345,15.0669,0,0.0413,0.019,0.0246,36.4833,78.75,1.4333,64.99,1,1.0,0.1,96.0,0.5,7,3
55,60,0.1449,0.1973,0.0,0.746,60.2345,15.0669,0,0.0413,0.019,0.0246,36.4833,78.75,1.4333,64.98,1,1.0,0.1,96.0,0.5,7,7
56,60,0.1449,0.1973,0.0,0.746,60.2345,15.0669,0,0.0413,0.019,0.0246,36.4833,78.75,1.4333,64.82,1,1.0,0.1,96.0,0.7,7,3
57,60,0.1449,0.1973,0.0,0.746,60.2345,15.0669,0,0.0413,0.019,0.0246,36.4833,78.75,1.4333,64.94,1,1.0,0.1,96.0,0.7,7,7
58,60,0.1448,0.2008,0.0,0.7451,62.8085,16.0113,0,0.0535,0.0185,0.0259,26.5333,78.75,1.3833,55.75,1,1.0,0.5,97.0,0.3,5,15
59,60,0.1448,0.2008,0.0,0.7451,62.8085,16.0113,0,0.0535,0.0185,0.0259,26.5333,78.75,1.3833,55.82,1,1.0,0.5,97.0,0.5,5,15
60,60,0.1448,0.2008,0.0,0.7451,62.8085,16.0113,0,0.0535,0.0185,0.0259,26.5333,78.75,1.3833,55.52,1,1.0,0.5,97.0,0.7,5,15
61,60,0.1448,0.1996,0.0,0.7462,62.414,15.7252,0,0.0507,0.0187,0.0258,28.25,78.75,1.4,55.12,1,1.0,0.1,97.0,0.3,3,15
62,60,0.1448,0.1996,0.0,0.7462,62.414,15.7252,0,0.0507,0.0187,0.0258,28.25,78.75,1.4,55.46,1,1.0,0.1,97.0,0.5,3,15
