rank,n_cases,mean_dice,std_dice,min_dice,max_dice,mean_hd95,std_hd95,n_inf_hd95,mean_precision,mean_recall,mean_f1,mean_n_pred_lesions,mean_n_gt_lesions,mean_n_tp_lesions,elapsed_sec,MORPH_RADIUS,GAUSSIAN_SIGMA,FLAIR_MIN_THRESHOLD,DIFF_PERCENTILE,DIFF_MIN_THRESHOLD,BRAIN_EROSION_RADIUS,MIN_LESION_VOXELS
142,60,0.1439,0.1961,0.0,0.743,60.5137,15.1031,0,0.0387,0.0193,0.0244,38.0667,78.75,1.4667,63.42,1,1.0,0.1,96.0,0.5,5,7
143,60,0.1439,0.1961,0.0,0.743,60.5137,15.1031,0,0.0387,0.0193,0.0244,38.0667,78.75,1.4667,63.36,1,1.0,0.1,96.0,0.7,5,3
144,60,0.1439,0.1961,0.0,0.743,60.5137,15.1031,0,0.0387,0.0193,0.0244,38.0667,78.75,1.4667,63.33,1,1.0,0.1,96.0,0.7,5,7
145,60,0.1434,0.1946,0.0,0.7377,60.3302,14.943,0,0.0382,0.0199,0.0248,38.55,78.75,1.5,62.8,1,1.0,0.3,96.0,0.3,3,15
146,60,0.1434,0.1946,0.0,0.7377,60.3302,14.943,0,0.0382,0.0199,0.0248,38.55,78.75,1.5,63.03,1,1.0,0.3,96.0,0.5,3,15
147,60,0.1434,0.1946,0.0,0.7377,60.3302,14.943,0,0.0382,0.0199,0.0248,38.55,78.75,1.5,63.06,1,1.0,0.3,96.0,0.7,3,15
148,60,0.1434,0.1945,0.0,0.7377,60.335,14.9452,0,0.0381,0.0199,0.0248,38.5833,78.75,1.5,63.05,1,1.0,0.1,96.0,0.3,3,15
149,60,0.1434,0.1945,0.0,0.7377,60.335,14.9452,0,0.0381,0.0199,0.0248,38.5833,78.75,1.5,62.93,1,1.0,0.1,96.0,0.5,3,15
150,60,0.1434,0.1945,0.0,0.7377,60.335,14.9452,0,0.0381,0.0199,0.0248,38.5833,78.75,1.5,62.84,1,1.0,0.1,96.0,0.7,3,15
151,60,0.1433,0.1944,0.0,0.7377,60.3317,14.9681,0,0.0375,0.0199,0.0246,40.2833,78.75,1.5,63.46,1,1.0,0.3,96.0,0.3,3,3
152,60,0.1433,0.1944,0.0,0.7377,60.3317,14.9681,0,0.0375,0.0199,0.0246,40.2833,78.75,1.5,63.45,1,1.0,0.3,96.0,0.3,3,7
153,60,0.1433,0.1944,0.0,0.7377,60.3317,14.9681,0,0.0375,0.0199,0.0246,40.2833,78.75,1.5,63.62,1,1.0,0.3,96.0,0.5,3,3
154,60,0.1433,0.1944,0.0,0.7377,60.3317,14.9681,0,0.0375,0.0199,0.0246,40.2833,78.75,1.5,63.55,1,1.0,0.3,96.0,0.5,3,7
155,60,0.1433,0.1944,0.0,0.7377,60.3317,14.9681,0,0.0375,0.0199,0.0246,40.2833,78.75,1.5,63.47,1,1.0,0.3,96.0,0.7,3,3
156,60,0.1433,0.1944,0.0,0.7377,60.3317,14.9681,0,0.0375,0.0199,0.0246,40.2833,78.75,1.5,63.48,1,1.0,0.3,96.0,0.7,3,7
157,60,0.1432,0.1943,0.0,0.7377,60.3343,14.9706,0,0.0374,0.0199,0.0246,40.3167,78.75,1.5,63.12,1,1.0,0.1,96.0,0.3,3,3
158,60,0.1432,0.1943,0.0,0.7377,60.3343,14.9706,0,0.0374,0.0199,0.0246,40.3167,78.75,1.5,63.32,1,1.0,0.1,96.0,0.3,3,7
159,60,0.1432,0.1943,0.0,0.7377,60.3343,14.9706,0,0.0374,0.0199,0.0246,40.3167,78.75,1.5,63.37,1,1.0,0.1,96.0,0.5,3,3
160,60,0.1432,0.1943,0.0,0.7377,60.3343,14.9706,0,0.0374,0.0199,0.0246,40.3167,78.75,1.5,63.37,1,1.0,0.1,96.0,0.5,3,7
161,60,0.1432,0.1943,0.0,0.7377,60.3343,14.9706,0,0.0374,0.0199,0.0246,40.3167,78.75,1.5,63.04,1,1.0,0.1,96.0,0.7,3,3
162,60,0.1432,0.1943,0.0,0.7377,60.3343,14.9706,0,0.0374,0.0199,0.0246,40.3167,78.75,1.5,63.24,1,1.0,0.1,96.0,0.7,3,7
163,60,0.1432,0.1906,0.0,0.7263,59.102,14.8935,0,0.0336,0.0206,0.024,46.8167,78.75,1.55,72.24,1,1.0,0.5,95.0,0.3,7,15
164,60,0.1432,0.1906,0.0,0.7263,59.102,14.8935,0,0.0336,0.0206,0.024,46.8167,78.75,1.55,72.55,1,1.0,0.5,95.0,0.5,7,15
165,60,0.1432,0.1906,0.0,0.7263,59.102,14.8935,0,0.0336,0.0206,0.024,46.8167,78.75,1.55,72.41,1,1.0,0.5,95.0,0.7,7,15
166,60,0.143,0.1905,0.0,0.7263,59.0797,14.9365,0,0.0331,0.0206,0.0238,48.75,78.75,1.55,73.13,1,1.0,0.5,95.0,0.3,7,3
167,60,0.143,0.1905,0.0,0.7263,59.0797,14.9365,0,0.0331,0.0206,0.0238,48.75,78.75,1.55,72.86,1,1.0,0.5,95.0,0.3,7,7
168,60,0.143,0.1905,0.0,0.7263,59.0797,14.9365,0,0.0331,0.0206,0.0238,48.75,78.75,1.55,72.93,1,1.0,0.5,95.0,0.5,7,3
169,60,0.143,0.1905,0.0,0.7263,59.0797,14.9365,0,0.0331,0.0206,0.0238,48.75,78.75,1.55,73.07,1,1.0,0.5,95.0,0.5,7,7
170,60,0.143,0.1905,0.0,0.7263,59.0797,14.9365,0,0.0331,0.0206,0.0238,48.75,78.75,1.55,72.75,1,1.0,0.5,95.0,0.7,7,3
171,60,0.143,0.1905,0.0,0.7263,59.0797,14.9365,0,0.0331,0.0206,0.0238,48.75,78.75,1.55,73.14,1,1.0,0.5,95.0,0.7,7,7
172,60,0.1421,0.1894,0.0,0.7263,59.2543,15.0156,0,0.0333,0.0206,0.0239,47.0833,78.75,1.55,73.16,1,1.0,0.3,95.0,0.3,7,15
173,60,0.1421,0.1894,0.0,0.7263,59.2543,15.0156,0,0.0333,0.0206,0.0239,47.0833,78.75,1.55,73.06,1,1.0,0.3,95.0,0.5,7,15
174,60,0.1421,0.1894,0.0,0.7263,59.2543,15.0156,0,0.0333,0.0206,0.0239,47.0833,78.75,1.55,73.03,1,1.0,0.3,95.0,0.7,7,15
175,60,0.142,0.1892,0.0,0.7263,59.264,15.0281,0,0.0333,0.0206,0.0239,47.1167,78.75,1.55,73.23,1,1.0,0.1,95.0,0.3,7,15
176,60,0.142,0.1892,0.0,0.7263,59.264,15.0281,0,0.0333,0.0206,0.0239,47.1167,78.75,1.55,72.86,1,1.0,0.1,95.0,0.5,7,15
177,60,0.142,0.1892,0.0,0.7263,59.264,15.0281,0,0.0333,0.0206,0.0239,47.1167,78.75,1.55,73.2,1,1.0,0.1,95.0,0.7,7,15
178,60,0.1419,0.1893,0.0,0.7263,59.2377,15.0643,0,0.0327,0.0206,0.0237,49.0667,78.75,1.55,73.25,1,1.0,0.3,95.0,0.3,7,3
179,60,0.1419,0.1893,0.0,0.7263,59.2377,15.0643,0,0.0327,0.0206,0.0237,49.0667,78.75,1.55,73.61,1,1.0,0.3,95.0,0.3,7,7
180,60,0.1419,0.1893,0.0,0.7263,59.2377,15.0643,0,0.0327,0.0206,0.0237,49.0667,78.75,1.55,73.38,1,1.0,0.3,95.0,0.5,7,3
181,60,0.1419,0.1893,0.0,0.7263,59.2377,15.0643,0,0.0327,0.0206,0.0237,49.0667,78.75,1.55,73.25,1,1.0,0.3,95.0,0.5,7,7
182,60,0.1419,0.1893,0.0,0.7263,59.2377,15.0643,0,0.0327,0.0206,0.0237,49.0667,78.75,1.55,73.55,1,1.0,0.3,95.0,0.7,7,3
183,60,0.1419,0.1893,0.0,0.7263,59.2377,15.0643,0,0.0327,0.0206,0.0237,49.0667,78.75,1.55,73.56,1,1.0,0.3,95.0,0.7,7,7
184,60,0.1418,0.1891,0.0,0.7263,59.251,15.0788,0,0.0327,0.0206,0.0237,49.1167,78.75,1.55,73.38,1,1.0,0.1,95.0,0.3,7,3
185,60,0.1418,0.1891,0.0,0.7263,59.251,15.0788,0,0.0327,0.0206,0.0237,49.1167,78.75,1.55,73.17,1,1.0,0.1,95.0,0.3,7,7
186,60,0.1418,0.1891,0.0,0.7263,59.251,15.0788,0,0.0327,0.0206,0.0237,49.1167,78.75,1.55,73.11,1,1.0,0.1,95.0,0.5,7,3
187,60,0.1418,0.1891,0.0,0.7263,59.251,15.0788,0,0.0327,0.0206,0.0237,49.1167,78.75,1.55,72.98,1,1.0,0.1,95.0,0.5,7,7
188,60,0.1418,0.1891,0.0,0.7263,59.251,15.0788,0,0.0327,0.0206,0.0237,49.1167,78.75,1.55,73.45,1,1.0,0.1,95.0,0.7,7,3
189,60,0.1418,0.1891,0.0,0.7263,59.251,15.0788,0,0.0327,0.0206,0.0237,49.1167,78.75,1.55,73.14,1,1.0,0.1,95.0,0.7,7,7
190,60,0.1416,0.1892,0.0,0.7193,59.389,14.7746,0,0.0325,0.0206,0.0237,48.7333,78.75,1.55,71.47,1,1.0,0.5,95.0,0.3,5,15
191,60,0.1416,0.1892,0.0,0.7193,59.389,14.7746,0,0.0325,0.0206,0.0237,48.7333,78.75,1.55,71.39,1,1.0,0.5,95.0,0.5,5,15
192,60,0.1416,0.1892,0.0,0.7193,59.389,14.7746,0,0.0325,0.0206,0.0237,48.7333,78.75,1.55,71.39,1,1.0,0.5,95.0,0.7,5,15
193,60,0.1415,0.1891,0.0,0.7193,59.4592,14.7817,0,0.032,0.0206,0.0235,50.7,78.75,1.55,71.91,1,1.0,0.5,95.0,0.3,5,3
194,60,0.1415,0.1891,0.0,0.7193,59.4592,14.7817,0,0.032,0.0206,0.0235,50.7,78.75,1.55,71.81,1,1.0,0.5,95.0,0.3,5,7
195,60,0.1415,0.1891,0.0,0.7193,59.4592,14.7817,0,0.032,0.0206,0.0235,50.7,78.75,1.55,71.58,1,1.0,0.5,95.0,0.5,5,3
196,60,0.1415,0.1891,0.0,0.7193,59.4592,14.7817,0,0.032,0.0206,0.0235,50.7,78.75,1.55,71.71,1,1.0,0.5,95.0,0.5,5,7
197,60,0.1415,0.1891,0.0,0.7193,59.4592,14.7817,0,0.032,0.0206,0.0235,50.7,78.75,1.55,71.75,1,1.0,0.5,95.0,0.7,5,3
198,60,0.1415,0.1891,0.0,0.7193,59.4592,14.7817,0,0.032,0.0206,0.0235,50.7,78.75,1.55,71.48,1,1.0,0.5,95.0,0.7,5,7
199,60,0.1405,0.1879,0.0,0.7193,59.55,14.9107,0,0.0322,0.0206,0.0236,49.05,78.75,1.55,72.08,1,1.0,0.3,95.0,0.3,5,15
200,60,0.1405,0.1879,0.0,0.7193,59.55,14.9107,0,0.0322,0.0206,0.0236,49.05,78.75,1.55,72.02,1,1.0,0.3,95.0,0.5,5,15
201,60,0.1405,0.1879,0.0,0.7193,59.55,14.9107,0,0.0322,0.0206,0.0236,49.05,78.75,1.55,71.88,1,1.0,0.3,95.0,0.7,5,15
202,60,0.1404,0.1867,0.0,0.7077,59.193,14.6653,0,0.0309,0.021,0.0236,52.4167,78.75,1.5833,72.11,1,1.0,0.5,95.0,0.3,3,15
203,60,0.1404,0.1867,0.0,0.7077,59.193,14.6653,0,0.0309,0.021,0.0236,52.4167,78.75,1.5833,72.32,1,1.0,0.5,95.0,0.5,3,15
204,60,0.1404,0.1867,0.0,0.7077,59.193,14.6653,0,0.0309,0.021,0.0236,52.4167,78.75,1.5833,72.2,1,1.0,0.5,95.0,0.7,3,15
205,60,0.1404,0.1877,0.0,0.7193,59.6298,14.9259,0,0.0316,0.0206,0.0234,51.05,78.75,1.55,72.44,1,1.0,0.3,95.0,0.3,5,3
206,60,0.1404,0.1877,0.0,0.7193,59.6298,14.9259,0,0.0316,0.0206,0.0234,51.05,78.75,1.55,72.29,1,1.0,0.3,95.0,0.3,5,7
207,60,0.1404,0.1877,0.0,0.7193,59.6298,14.9259,0,0.0316,0.0206,0.0234,51.05,78.75,1.55,72.41,1,1.0,0.3,95.0,0.5,5,3
208,60,0.1404,0.1877,0.0,0.7193,59.6298,14.9259,0,0.0316,0.0206,0.0234,51.05,78.75,1.55,71.94,1,1.0,0.3,95.0,0.5,5,7
209,60,0.1404,0.1877,0.0,0.7193,59.6298,14.9259,0,0.0316,0.0206,0.0234,51.05,78.75,1.55,72.25,1,1.0,0.3,95.0,0.7,5,3
210,60,0.1404,0.1877,0.0,0.7193,59.6298,14.9259,0,0.0316,0.0206,0.0234,51.05,78.75,1.55,71.81,1,1.0,0.3,95.0,0.7,5,7
211,60,0.1403,0.1876,0.0,0.7193,59.5697,14.927,0,0.0321,0.0206,0.0236,49.1667,78.75,1.55,72.1,1,1.0,0.1,95.0,0.3,5,15
212,60,0.1403,0.1876,0.0,0.7193,59.5697,14.927,0,0.0321,0.0206,0.0236,49.1667,78.75,1.55,71.85,1,1.0,0.1,95.0,0.5,5,15
213,60,0.1403,0.1876,0.0,0.7193,59.5697,14.927,0,0.0321,0.0206,0.0236,49.1667,78.75,1.55,71.64,1,1.0,0.1,95.0,0.7,5,15
214,60,0.1403,0.1865,0.0,0.7077,59.2672,14.6603,0,0.0304,0.021,0.0234,54.6667,78.75,1.5833,72.72,1,1.0,0.5,95.0,0.3,3,3
215,60,0.1403,0.1865,0.0,0.7077,59.2672,14.6603,0,0.0304,0.021,0.0234,54.6667,78.75,1.5833,72.64,1,1.0,0.5,95.0,0.3,3,7
216,60,0.1403,0.1865,0.0,0.7077,59.2672,14.6603,0,0.0304,0.021,0.0234,54.6667,78.75,1.5833,72.72,1,1.0,0.5,95.0,0.5,3,3
217,60,0.1403,0.1865,0.0,0.7077,59.2672,14.6603,0,0.0304,0.021,0.0234,54.6667,78.75,1.5833,72.93,1,1.0,0.5,95.0,0.5,3,7
218,60,0.1403,0.1865,0.0,0.7077,59.2672,14.6603,0,0.0304,0.021,0.0234,54.6667,78.75,1.5833,72.83,1,1.0,0.5,95.0,0.7,3,3
219,60,0.1403,0.1865,0.0,0.7077,59.2672,14.6603,0,0.0304,0.021,0.0234,54.6667,78.75,1.5833,72.84,1,1.0,0.5,95.0,0.7,3,7
220,60,0.1402,0.1875,0.0,0.7193,59.6505,14.9451,0,0.0315,0.0206,0.0234,51.1833,78.75,1.55,77.42,1,1.0,0.1,95.0,0.3,5,3
221,60,0.1402,0.1875,0.0,0.7193,59.6505,14.9451,0,0.0315,0.0206,0.0234,51.1833,78.75,1.55,73.79,1,1.0,0.1,95.0,0.3,5,7
222,60,0.1402,0.1875,0.0,0.7193,59.6505,14.9451,0,0.0315,0.0206,0.0234,51.1833,78.75,1.55,71.82,1,1.0,0.1,95.0,0.5,5,3
223,60,0.1402,0.1875,0.0,0.7193,59.6505,14.9451,0,0.0315,0.0206,0.0234,51.1833,78.75,1.55,72.09,1,1.0,0.1,95.0,0.5,5,7
224,60,0.1402,0.1875,0.0,0.7193,59.6505,14.9451,0,0.0315,0.0206,0.0234,51.1833,78.75,1.55,72.02,1,1.0,0.1,95.0,0.7,5,3
225,60,0.1402,0.1875,0.0,0.7193,59.6505,14.9451,0,0.0315,0.0206,0.0234,51.1833,78.75,1.55,71.96,1,1.0,0.1,95.0,0.7,5,7
226,60,0.1393,0.1853,0.0,0.7077,59.361,14.8166,0,0.0307,0.021,0.0235,52.7833,78.75,1.5833,72.96,1,1.0,0.3,95.0,0.3,3,15
227,60,0.1393,0.1853,0.0,0.7077,59.361,14.8166,0,0.0307,0.021,0.0235,52.7833,78.75,1.5833,72.6,1,1.0,0.3,95.0,0.5,3,15
228,60,0.1393,0.1853,0.0,0.7077,59.361,14.8166,0,0.0307,0.021,0.0235,52.7833,78.75,1.5833,73.01,1,1.0,0.3,95.0,0.7,3,15
229,60,0.1391,0.1852,0.0,0.7077,59.447,14.8232,0,0.0302,0.021,0.0233,55.1,78.75,1.5833,73.06,1,1.0,0.3,95.0,0.3,3,3
230,60,0.1391,0.1852,0.0,0.7077,59.447,14.8232,0,0.0302,0.021,0.0233,55.1,78.75,1.5833,73.35,1,1.0,0.3,95.0,0.3,3,7
231,60,0.1391,0.1852,0.0,0.7077,59.447,14.8232,0,0.0302,0.021,0.0233,55.1,78.75,1.5833,73.0,1,1.0,0.3,95.0,0.5,3,3
232,60,0.1391,0.1852,0.0,0.7077,59.447,14.8232,0,0.0302,0.021,0.0233,55.1,78.75,1.5833,73.18,1,1.0,0.3,95.0,0.5,3,7
233,60,0.1391,0.1852,0.0,0.7077,59.447,14.8232,0,0.0302,0.021,0.0233,55.1,78.75,1.5833,73.21,1,1.0,0.3,95.0,0.7,3,3
234,60,0.1391,0.1852,0.0,0.7077,59.447,14.8232,0,0.0302,0.021,0.0233,55.1,78.75,1.5833,73.37,1,1.0,0.3,95.0,0.7,3,7
235,60,0.139,0.185,0.0,0.7077,59.3888,14.8383,0,0.0306,0.021,0.0235,52.9833,78.75,1.5833,79.52,1,1.0,0.1,95.0,0.3,3,15
236,60,0.139,0.185,0.0,0.7077,59.3888,14.8383,0,0.0306,0.021,0.0235,52.9833,78.75,1.5833,72.24,1,1.0,0.1,95.0,0.5,3,15
237,60,0.139,0.185,0.0,0.7077,59.3888,14.8383,0,0.0306,0.021,0.0235,52.9833,78.75,1.5833,72.62,1,1.0,0.1,95.0,0.7,3,15
238,60,0.1388,0.1849,0.0,0.7077,59.4703,14.8393,0,0.0301,0.021,0.0233,55.3,78.75,1.5833,81.5,1,1.0,0.1,95.0,0.3,3,3
239,60,0.1388,0.1849,0.0,0.7077,59.4703,14.8393,0,0.0301,0.021,0.0233,55.3,78.75,1.5833,79.87,1,1.0,0.1,95.0,0.3,3,7
240,60,0.1388,0.1849,0.0,0.7077,59.4703,14.8393,0,0.0301,0.021,0.0233,55.3,78.75,1.5833,72.99,1,1.0,0.1,95.0,0.5,3,3
241,60,0.1388,0.1849,0.0,0.7077,59.4703,14.8393,0,0.0301,0.021,0.0233,55.3,78.75,1.5833,73.12,1,1.0,0.1,95.0,0.5,3,7
242,60,0.1388,0.1849,0.0,0.7077,59.4703,14.8393,0,0.0301,0.021,0.0233,55.3,78.75,1.5833,72.91,1,1.0,0.1,95.0,0.7,3,3
243,60,0.1388,0.1849,0.0,0.7077,59.4703,14.8393,0,0.0301,0.021,0.0233,55.3,78.75,1.5833,73.16,1,1.0,0.1,95.0,0.7,3,7
244,60,0.1384,0.1967,0.0,0.7302,67.6548,18.7066,0,0.0665,0.0167,0.0254,17.8167,78.75,1.2333,48.1,1,1.0,0.5,98.0,0.3,3,15
245,60,0.1384,0.1967,0.0,0.7302,67.6548,18.7066,0,0.0665,0.0167,0.0254,17.8167,78.75,1.2333,48.13,1,1.0,0.5,98.0,0.5,3,15
246,60,0.1384,0.1967,0.0,0.7302,67.6548,18.7066,0,0.0665,0.0167,0.0254,17.8167,78.75,1.2333,47.88,1,1.0,0.5,98.0,0.7,3,15
247,60,0.1383,0.1967,0.0,0.7302,67.6545,18.7068,0,0.0665,0.0167,0.0254,17.8167,78.75,1.2333,48.26,1,1.0,0.1,98.0,0.3,3,15
248,60,0.1383,0.1967,0.0,0.7302,67.6545,18.7068,0,0.0665,0.0167,0.0254,17.8167,78.75,1.2333,48.26,1,1.0,0.1,98.0,0.5,3,15
249,60,0.1383,0.1967,0.0,0.7302,67.6545,18.7068,0,0.0665,0.0167,0.0254,17.8167,78.75,1.2333,48.75,1,1.0,0.1,98.0,0.7,3,15
250,60,0.1383,0.1967,0.0,0.7302,67.6545,18.7068,0,0.0665,0.0167,0.0254,17.8167,78.75,1.2333,48.61,1,1.0,0.3,98.0,0.3,3,15
251,60,0.1383,0.1967,0.0,0.7302,67.6545,18.7068,0,0.0665,0.0167,0.0254,17.8167,78.75,1.2333,48.38,1,1.0,0.3,98.0,0.5,3,15
252,60,0.1383,0.1967,0.0,0.7302,67.6545,18.7068,0,0.0665,0.0167,0.0254,17.8167,78.75,1.2333,48.59,1,1.0,0.3,98.0,0.7,3,15
253,60,0.1383,0.1965,0.0,0.7258,69.0273,19.5412,0,0.0689,0.0166,0.0254,17.2,78.75,1.2167,49.88,1,1.0,0.1,98.0,0.3,5,15
254,60,0.1383,0.1965,0.0,0.7258,69.0273,19.5412,0,0.0689,0.0166,0.0254,17.2,78.75,1.2167,49.85,1,1.0,0.1,98.0,0.5,5,15
255,60,0.1383,0.1965,0.0,0.7258,69.0273,19.5412,0,0.0689,0.0166,0.0254,17.2,78.75,1.2167,49.79,1,1.0,0.1,98.0,0.7,5,15
256,60,0.1383,0.1965,0.0,0.7258,69.0273,19.5412,0,0.0689,0.0166,0.0254,17.2,78.75,1.2167,49.91,1,1.0,0.3,98.0,0.3,5,15
257,60,0.1383,0.1965,0.0,0.7258,69.0273,19.5412,0,0.0689,0.0166,0.0254,17.2,78.75,1.2167,49.87,1,1.0,0.3,98.0,0.5,5,15
258,60,0.1383,0.1965,0.0,0.7258,69.0273,19.5412,0,0.0689,0.0166,0.0254,17.2,78.75,1.2167,49.81,1,1.0,0.3,98.0,0.7,5,15
259,60,0.1383,0.1965,0.0,0.7258,69.0273,19.5412,0,0.0689,0.0166,0.0254,17.2,78.75,1.2167,49.29,1,1.0,0.5,98.0,0.3,5,15
260,60,0.1383,0.1965,0.0,0.7258,69.0273,19.5412,0,0.0689,0.0166,0.0254,17.2,78.75,1.2167,49.89,1,1.0,0.5,98.0,0.5,5,15
261,60,0.1383,0.1965,0.0,0.7258,69.0273,19.5412,0,0.0689,0.0166,0.0254,17.2,78.75,1.2167,49.46,1,1.0,0.5,98.0,0.7,5,15
262,60,0.1382,0.1962,0.0,0.7213,69.1115,19.4784,0,0.0711,0.0164,0.0253,16.6333,78.75,1.2,52.07,1,1.0,0.1,98.0,0.3,7,15
263,60,0.1382,0.1962,0.0,0.7213,69.1115,19.4784,0,0.0711,0.0164,0.0253,16.6333,78.75,1.2,51.86,1,1.0,0.1,98.0,0.5,7,15
264,60,0.1382,0.1962,0.0,0.7213,69.1115,19.4784,0,0.0711,0.0164,0.0253,16.6333,78.75,1.2,51.94,1,1.0,0.1,98.0,0.7,7,15
265,60,0.1382,0.1962,0.0,0.7213,69.1115,19.4784,0,0.0711,0.0164,0.0253,16.6333,78.75,1.2,52.13,1,1.0,0.3,98.0,0.3,7,15
266,60,0.1382,0.1962,0.0,0.7213,69.1115,19.4784,0,0.0711,0.0164,0.0253,16.6333,78.75,1.2,52.18,1,1.0,0.3,98.0,0.5,7,15
267,60,0.1382,0.1962,0.0,0.7213,69.1115,19.4784,0,0.0711,0.0164,0.0253,16.6333,78.75,1.2,52.08,1,1.0,0.3,98.0,0.7,7,15
268,60,0.1382,0.1962,0.0,0.7213,69.1123,19.4779,0,0.0711,0.0164,0.0253,16.6333,78.75,1.2,51.58,1,1.0,0.5,98.0,0.3,7,15
269,60,0.1382,0.1962,0.0,0.7213,69.1123,19.4779,0,0.0711,0.0164,0.0253,16.6333,78.75,1.2,51.67,1,1.0,0.5,98.0,0.5,7,15
270,60,0.1382,0.1962,0.0,0.7213,69.1123,19.4779,0,0.0711,0.0164,0.0253,16.6333,78.75,1.2,51.42,1,1.0,0.5,98.0,0.7,7,15
271,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.8,1,1.0,0.1,98.0,0.3,3,3
272,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.53,1,1.0,0.1,98.0,0.3,3,7
273,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.56,1,1.0,0.1,98.0,0.5,3,3
274,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.62,1,1.0,0.1,98.0,0.5,3,7
275,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.75,1,1.0,0.1,98.0,0.7,3,3
276,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.63,1,1.0,0.1,98.0,0.7,3,7
277,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.56,1,1.0,0.3,98.0,0.3,3,3
278,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.56,1,1.0,0.3,98.0,0.3,3,7
279,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.75,1,1.0,0.3,98.0,0.5,3,3
280,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.66,1,1.0,0.3,98.0,0.5,3,7
281,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.53,1,1.0,0.3,98.0,0.7,3,3
282,60,0.1382,0.1966,0.0,0.7302,67.4035,17.8161,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.48,1,1.0,0.3,98.0,0.7,3,7
283,60,0.1382,0.1966,0.0,0.7302,67.4038,17.8159,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.0,1,1.0,0.5,98.0,0.3,3,3
284,60,0.1382,0.1966,0.0,0.7302,67.4038,17.8159,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.32,1,1.0,0.5,98.0,0.3,3,7
285,60,0.1382,0.1966,0.0,0.7302,67.4038,17.8159,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.07,1,1.0,0.5,98.0,0.5,3,3
286,60,0.1382,0.1966,0.0,0.7302,67.4038,17.8159,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.04,1,1.0,0.5,98.0,0.5,3,7
287,60,0.1382,0.1966,0.0,0.7302,67.4038,17.8159,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.16,1,1.0,0.5,98.0,0.7,3,3
288,60,0.1382,0.1966,0.0,0.7302,67.4038,17.8159,0,0.0656,0.0167,0.0252,18.75,78.75,1.2333,48.08,1,1.0,0.5,98.0,0.7,3,7
289,60,0.1381,0.1963,0.0,0.7258,68.7437,18.7144,0,0.068,0.0166,0.0252,18.0833,78.75,1.2167,50.07,1,1.0,0.1,98.0,0.3,5,3
290,60,0.1381,0.1963,0.0,0.7258,68.7437,18.7144,0,0.068,0.0166,0.0252,18.0833,78.75,1.2167,50.06,1,1.0,0.1,98.0,0.3,5,7
291,60,0.1381,0.1963,0.0,0.7258,68.7437,18.7144,0,0.068,0.0166,0.0252,18.0833,78.75,1.2167,50.06,1,1.0,0.1,98.0,0.5,5,3
292,60,0.1381,0.1963,0.0,0.7258,68.7437,18.7144,0,0.068,0.0166,0.0252,18.0833,78.75,1.2167,49.84,1,1.0,0.1,98.0,0.5,5,7
293,60,0.1381,0.1963,0.0,0.7258,68.7437,18.7144,0,0.068,0.0166,0.0252,18.0833,78.75,1.2167,49.75,1,1.0,0.1,98.0,0.7,5,3
294,60,0.1381,0.1963,0.0,0.7258,68.7437,18.7144,0,0.068,0.0166,0.0252,18.0833,78.75,1.2167,49.87,1,1.0,0.1,98.0,0.7,5,7
295,60,0.1381,0.1963,0.0,0.7258,68.7437,18.7144,0,0.068,0.0166,0.0252,18.0833,78.75,1.2167,50.0,1,1.0,0.3,98.0,0.3,5,3
296,60,0.1381,0.1963,0.0,0.7258,68.7437,18.7144,0,0.068,0.0166,0.0252,18.0833,78.75,1.2167,50.06,1,1.0,0.3,98.0,0.3,5,7
